Wavelength	Mean	Std+	Std-	FWHM
465	0.265308875	0.291220556	0.239397194	0.006
466	0.265821075	0.291787369	0.239854781	0.006
467	0.26634035	0.292368128	0.240312572	0.006
468	0.266869325	0.292968144	0.240770506	0.006
469	0.267433525	0.293602934	0.241264116	0.006
470	0.26797405	0.294209606	0.241738494	0.006
471	0.268502725	0.294801102	0.242204348	0.006
472	0.269078875	0.295441765	0.242715985	0.006
473	0.269670825	0.296101098	0.243240552	0.006
474	0.2702644	0.296762962	0.243765838	0.006
475	0.2708487	0.297415248	0.244282152	0.006
476	0.271504875	0.298138693	0.244871057	0.006
477	0.2721773	0.298884499	0.245470101	0.006
478	0.272857425	0.299646516	0.246068334	0.006
479	0.2736029	0.300467939	0.246737861	0.006
480	0.27438425	0.301323639	0.247444861	0.006
481	0.275188725	0.302200304	0.248177146	0.006
482	0.275962825	0.303037715	0.248887935	0.006
483	0.276805825	0.303945742	0.249665908	0.006
484	0.2777152	0.304927096	0.250503304	0.006
485	0.278702575	0.306002335	0.251402815	0.006
486	0.2797107	0.307120613	0.252300787	0.006
487	0.28076655	0.308292057	0.253241043	0.006
488	0.28188175	0.309523614	0.254239886	0.006
489	0.2830084	0.310763096	0.255253704	0.006
490	0.28416565	0.31202438	0.25630692	0.006
491	0.2853339	0.313286561	0.257381239	0.006
492	0.2865081	0.314538762	0.258477438	0.006
493	0.2877071	0.315830013	0.259584187	0.006
494	0.288934925	0.317155991	0.260713859	0.006
495	0.29022245	0.318539416	0.261905484	0.006
496	0.29150335	0.319915387	0.263091313	0.006
497	0.29279615	0.321295271	0.264297029	0.006
498	0.294121125	0.322695124	0.265547126	0.006
499	0.295505725	0.3241772	0.26683425	0.006
500	0.296904425	0.325682281	0.268126569	0.006
501	0.298313725	0.327204087	0.269423363	0.006
502	0.2997422	0.328733303	0.270751097	0.006
503	0.3011613	0.330261954	0.272060646	0.006
504	0.3025791	0.331785341	0.273372859	0.006
505	0.30403875	0.333325158	0.274752342	0.006
506	0.305482225	0.334864508	0.276099942	0.006
507	0.30691955	0.336397807	0.277441293	0.006
508	0.308366825	0.337935034	0.278798616	0.006
509	0.3097969	0.339459816	0.280133984	0.006
510	0.31124965	0.341007373	0.281491927	0.006
511	0.3127274	0.342578993	0.282875807	0.006
512	0.3141577	0.344088076	0.284227324	0.006
513	0.3155885	0.345597616	0.285579384	0.006
514	0.3170333	0.347125527	0.286941073	0.006
515	0.318503725	0.348694752	0.288312698	0.006
516	0.320048675	0.350357266	0.289740084	0.006
517	0.321619525	0.352049537	0.291189513	0.006
518	0.3231795	0.353726362	0.292632638	0.006
519	0.324765225	0.355443349	0.294087101	0.006
520	0.326336675	0.35713947	0.29553388	0.006
521	0.327875125	0.358791318	0.296958932	0.006
522	0.329379025	0.360375747	0.298382303	0.006
523	0.33087465	0.361957172	0.299792128	0.006
524	0.33238865	0.363561417	0.301215883	0.006
525	0.3339778	0.365245633	0.302709967	0.006
526	0.335601	0.366978652	0.304223348	0.006
527	0.3372164	0.368708048	0.305724752	0.006
528	0.338810675	0.370416577	0.307204773	0.006
529	0.340429075	0.372147458	0.308710692	0.006
530	0.342020675	0.37384546	0.31019589	0.006
531	0.3435774	0.37550126	0.31165354	0.006
532	0.345165925	0.377170905	0.313160945	0.006
533	0.346781825	0.378883871	0.314679779	0.006
534	0.348418325	0.38062777	0.31620888	0.006
535	0.350042	0.382357991	0.317726009	0.006
536	0.35164775	0.384066525	0.319228975	0.006
537	0.35324245	0.385759996	0.320724904	0.006
538	0.354838	0.387449351	0.322226649	0.006
539	0.3564415	0.389154121	0.323728879	0.006
540	0.358068125	0.390886878	0.325249372	0.006
541	0.359712725	0.392641648	0.326783802	0.006
542	0.361362275	0.394401036	0.328323514	0.006
543	0.362991375	0.3961347	0.32984805	0.006
544	0.3645985	0.397841168	0.331355832	0.006
545	0.366204825	0.399541054	0.332868596	0.006
546	0.367799825	0.401231592	0.334368058	0.006
547	0.36940465	0.402933418	0.335875882	0.006
548	0.37104835	0.404676135	0.337420565	0.006
549	0.372693325	0.406418634	0.338968016	0.006
550	0.374333325	0.408158605	0.340508045	0.006
551	0.3759651	0.409893474	0.342036726	0.006
552	0.37760455	0.411634142	0.343574958	0.006
553	0.379210375	0.413337639	0.345083111	0.006
554	0.380798875	0.415020435	0.346577315	0.006
555	0.382414975	0.416725579	0.348104371	0.006
556	0.38401585	0.41841239	0.34961931	0.006
557	0.3856271	0.420113484	0.351140716	0.006
558	0.3872671	0.421856133	0.352678067	0.006
559	0.388916825	0.423620891	0.354212759	0.006
560	0.39055105	0.425365147	0.355736953	0.006
561	0.39215155	0.427064045	0.357239055	0.006
562	0.393712375	0.428717336	0.358707414	0.006
563	0.39527215	0.430365349	0.360178951	0.006
564	0.396835175	0.432013493	0.361656857	0.006
565	0.3983925	0.433657303	0.363127697	0.006
566	0.3999121	0.435270871	0.364553329	0.006
567	0.401415725	0.436869877	0.365961573	0.006
568	0.402909525	0.438452708	0.367366342	0.006
569	0.404360425	0.439988722	0.368732128	0.006
570	0.40581345	0.441527276	0.370099624	0.006
571	0.4072787	0.443080107	0.371477293	0.006
572	0.40871415	0.444604938	0.372823362	0.006
573	0.4101182	0.446093352	0.374143048	0.006
574	0.41149095	0.447544869	0.375437031	0.006
575	0.412818025	0.448941243	0.376694807	0.006
576	0.4141502	0.450349523	0.377950877	0.006
577	0.415482675	0.451762117	0.379203233	0.006
578	0.416783225	0.453142645	0.380423805	0.006
579	0.418072625	0.454509076	0.381636174	0.006
580	0.419340975	0.455852491	0.382829459	0.006
581	0.420574275	0.457158043	0.383990507	0.006
582	0.421734775	0.4583699	0.38509965	0.006
583	0.42286695	0.459549369	0.386184531	0.006
584	0.4239777	0.460705099	0.387250301	0.006
585	0.42504985	0.461824452	0.388275248	0.006
586	0.4260716	0.462885932	0.389257268	0.006
587	0.427071	0.463923594	0.390218406	0.006
588	0.428055725	0.464953829	0.391157621	0.006
