NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
fscnye.030-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fscnye.016-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fscnof.007-,impervious,urban,comp_shingle,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
fscemg.024-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fscnof.006-,impervious,urban,comp_shingle,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
fscemg.021-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fscnye.027-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fscrmg.018-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.009-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.019-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscnye.017-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fscemg.022-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
flckof.004-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fscrmg.008-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.021-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscnye.015-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
flckof.001-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fscrmg.011-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.020-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.023-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.020-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fscnye.014-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fsceye.034-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fscemg.019-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fsceye.032-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fscemg.023-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fsceye.033-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fscrmg.022-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.016-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.015-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.025-,impervious,urban,comp_shingle,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
fscmye.008-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fscrmg.010-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscnye.018-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fscrmg.017-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscmye.007-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fscrmg.004-,impervious,urban,comp_shingle,measured,34.4118,-119.8709,asd,urban reflectance spectra from santa barbara
fscrmg.005-,impervious,urban,comp_shingle,measured,34.4118,-119.8709,asd,urban reflectance spectra from santa barbara
fsceye.030-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fscnye.019-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fsctmg.003-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.001-,impervious,urban,comp_shingle,measured,34.4118,-119.8709,asd,urban reflectance spectra from santa barbara
fsctmg.039-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.003-,impervious,urban,comp_shingle,measured,34.4118,-119.8709,asd,urban reflectance spectra from santa barbara
fscmmg.014-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.040-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.013-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.012-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscmmg.015-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscmmg.017-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.042-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscnye.021-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fscmye.005-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fscemg.003-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.050-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscnye.020-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fscrmg.002-,impervious,urban,comp_shingle,measured,34.4118,-119.8709,asd,urban reflectance spectra from santa barbara
fscrmg.014-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.043-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.014-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscnye.013-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fsctmg.004-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.041-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsceye.031-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fsctmg.029-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.002-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.018-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscmmg.016-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscmmg.005-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsceye.029-,impervious,urban,comp_shingle,measured,34.4283,-119.8707,asd,urban reflectance spectra from santa barbara
fscmmg.002-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.016-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscmmg.003-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.002-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscnye.022-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fscemg.004-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.030-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.001-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.005-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.028-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscmmg.001-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscmmg.004-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsceye.010-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
