ISO,ID,HORI,TOP,BOT,SAMPLENO,SIO2,AL2O3,FE2O3,CAO,MGO,K2O,NA2O,TIO2,MNO2,P2O5,IGN,TOTAL,RATIOSIAL,RATIOSIFE,RATIOSIR,RATIOALFE,SOELREM,EDITDATE,VERIFIED
"FR",11,3,12,26,"660045",4.8500000000000000e+01,2.7300000000000001e+01,4.5999999999999996e+00,0.0000000000000000e+00,1.2000000000000000e+00,2.3999999999999999e+00,,1.3999999999999999e+00,0.0000000000000000e+00,6.9999999999999996e-01,1.2000000000000000e+01,,3.0000000000000000e+00,2.8000000000000000e+01,2.7000000000000002e+00,9.3000000000000007e+00,,"06/20/03 00:00:00","OSP"
"FR",11,4,29,40,"660046",4.9200000000000003e+01,2.7300000000000001e+01,5.2000000000000002e+00,0.0000000000000000e+00,1.5000000000000000e+00,2.5000000000000000e+00,,1.2000000000000000e+00,0.0000000000000000e+00,4.0000000000000002e-01,1.0100000000000000e+01,,3.1000000000000001e+00,2.5100000000000001e+01,2.7000000000000002e+00,8.1999999999999993e+00,,"06/20/03 00:00:00","OSP"
"FR",11,5,42,77,"660047",4.7299999999999997e+01,2.5100000000000001e+01,1.2600000000000000e+01,0.0000000000000000e+00,1.8000000000000000e+00,2.2999999999999998e+00,,1.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000001e-01,9.0000000000000000e+00,,3.2000000000000002e+00,1.0000000000000000e+01,2.3999999999999999e+00,3.1000000000000001e+00,,"06/20/03 00:00:00","OSP"
"IT",17,1,0,35,,5.7000000000000000e+01,1.8399999999999999e+01,7.0999999999999996e+00,3.9999999999999997e-01,2.2999999999999998e+00,2.5000000000000000e+00,3.9999999999999997e-01,5.9999999999999998e-01,9.9999999999999992e-02,,1.1399999999999999e+01,1.0000000000000000e+02,5.1999999999999993e+00,2.1500000000000000e+01,4.1999999999999993e+00,4.0999999999999996e+00,"data from Spaargaren (1979), profile Sp/166","06/25/96 00:00:00","OSP"
"IN",1,1,0,17,"770001",4.6799999999999997e+01,2.2399999999999999e+01,1.1500000000000000e+01,3.2999999999999996e-01,3.7500000000000000e+00,4.1899999999999995e+00,,8.9999999999999991e-01,1.6999999999999998e-01,3.4999999999999998e-01,7.7999999999999998e+00,1.0080000000000000e+02,3.5000000000000000e+00,1.0799999999999999e+01,2.6999999999999997e+00,3.0000000000000000e+00,,"02/27/95 00:00:00","OSP"
"IN",1,2,17,48,"770002",4.6699999999999996e+01,2.3000000000000000e+01,1.1699999999999999e+01,2.2999999999999998e-01,3.4600000000000000e+00,3.8999999999999999e+00,,8.5999999999999999e-01,1.4999999999999999e-01,2.7999999999999997e-01,7.8999999999999995e+00,1.0109999999999999e+02,3.3999999999999999e+00,1.0600000000000000e+01,2.5999999999999996e+00,3.0999999999999996e+00,,"02/27/95 00:00:00","OSP"
"IN",1,3,48,68,"770003",4.5799999999999997e+01,2.2599999999999998e+01,1.1799999999999999e+01,2.2300000000000000e+00,5.4999999999999993e-01,3.7100000000000000e+00,,8.7000000000000000e-01,1.5999999999999998e-01,2.7999999999999997e-01,8.0000000000000000e+00,1.0030000000000000e+02,3.3999999999999999e+00,1.0299999999999999e+01,2.5999999999999996e+00,3.0000000000000000e+00,,"02/27/95 00:00:00","OSP"
"IN",1,4,68,93,"770004",4.5699999999999996e+01,2.2099999999999998e+01,1.1699999999999999e+01,2.1999999999999997e-01,3.5699999999999998e+00,3.5999999999999996e+00,,8.8999999999999990e-01,1.6999999999999998e-01,3.2999999999999996e-01,7.8999999999999995e+00,9.9599999999999994e+01,3.5000000000000000e+00,1.0399999999999999e+01,2.5999999999999996e+00,3.0000000000000000e+00,,"02/27/95 00:00:00","OSP"
"IN",1,5,93,116,"770005",,,,,,,,,,,,,,,,,,"02/27/95 00:00:00","OSP"
"IN",6,1,0,8,"770023",4.1000000000000000e+01,2.9199999999999999e+01,1.3100000000000000e+01,3.9999999999999994e-02,1.1299999999999999e+00,1.1499999999999999e+00,,1.0000000000000000e+00,8.9999999999999997e-02,2.5999999999999995e-01,1.1500000000000000e+01,1.0059999999999999e+02,2.2999999999999998e+00,8.5999999999999996e+00,1.7999999999999998e+00,3.7999999999999998e+00,,"03/05/95 00:00:00","OSP"
"IN",6,2,8,38,"770024",4.0599999999999994e+01,3.0199999999999999e+01,1.2500000000000000e+01,2.9999999999999999e-02,1.0099999999999998e+00,1.0299999999999998e+00,,9.0999999999999992e-01,7.9999999999999988e-02,1.3999999999999999e-01,1.1699999999999999e+01,1.0009999999999999e+02,2.2999999999999998e+00,8.5999999999999996e+00,1.7999999999999998e+00,3.7999999999999998e+00,,"03/05/95 00:00:00","OSP"
"IN",6,3,38,64,"770025",4.0500000000000000e+01,2.9799999999999997e+01,1.1899999999999999e+01,7.9999999999999988e-02,1.0299999999999998e+00,1.0000000000000000e+00,,8.7999999999999989e-01,9.9999999999999992e-02,1.0999999999999999e-01,1.1600000000000000e+01,9.8899999999999991e+01,2.2999999999999998e+00,9.0999999999999996e+00,1.7999999999999998e+00,3.8999999999999999e+00,,"03/05/95 00:00:00","OSP"
"IN",6,4,64,91,"770026",4.1699999999999996e+01,3.0299999999999997e+01,1.1600000000000000e+01,6.9999999999999993e-02,9.8999999999999999e-01,9.5999999999999996e-01,,8.7000000000000000e-01,8.9999999999999997e-02,7.9999999999999988e-02,1.1500000000000000e+01,1.0009999999999999e+02,2.2999999999999998e+00,9.5000000000000000e+00,1.8999999999999999e+00,4.0999999999999996e+00,,"03/05/95 00:00:00","OSP"
"IN",6,5,91,150,"770027",4.2199999999999996e+01,2.9500000000000000e+01,1.1100000000000000e+01,4.9999999999999996e-02,1.0499999999999998e+00,9.4999999999999996e-01,,8.4999999999999998e-01,7.9999999999999988e-02,8.9999999999999997e-02,1.1299999999999999e+01,9.9199999999999989e+01,2.3999999999999999e+00,1.0100000000000000e+01,2.0000000000000000e+00,4.1999999999999993e+00,,"03/05/95 00:00:00","OSP"
"IN",9,3,36,68,"770038",4.6299999999999997e+01,3.2500000000000000e+01,6.8999999999999995e+00,7.9999999999999988e-02,3.8999999999999996e-01,1.0499999999999998e+00,,8.1999999999999995e-01,4.9999999999999996e-02,7.9999999999999988e-02,1.1799999999999999e+01,1.0000000000000000e+02,2.3999999999999999e+00,2.1000000000000000e+01,2.1999999999999997e+00,8.7999999999999989e+00,,"03/07/95 00:00:00","OSP"
