ISO,ID,WRB_RG,WRB_Q1,WRB_Q2,WRB_Q3,WRB_Q4,FAO_88,FSUB_88,PHA_88,FAOSTAT_88,FAO_74,PHA_74,FAOSTAT,USGG_99,USSG_99,USTX_92,USMIN_92,STR_92,OTH_92,SMR_92,USGG_75,USSG_75,USTX,USMIN,STR,OTH,SMR,LOCAL,REMARKS,EDITDATE,VER,,,,,
AU,29,PT,ab,st,ap,fr,PTa,st,,1,Lp,,1,,,,,,,,adb,PL,126,34,ME,,UD,HAS: Lateritic Podzolic Soil; FK: Dy3.71,,04/29/03 12:00 AM,OSP,,,,,
AU,30,LV,ccw,ro,ct,,LVk,rh,,1,Lk,,1,,,,,,,,axr,CA,126,34,TH,,XE,HAS: Red Brown Earth, Urrbrae loam; FK: Dr2.23,,05/01/03 12:00 AM,OSP,,,,
AU,31,PL,gl,so,ab,dye,PLD,so,,1,Wd,,1,jah,,,,,,,aqw,AA,96,34,TH,,AQ,HAS: Gleyed Podzolic Soil; FK: Gn2.94,'Name according to the classification in Handbook of Austalian Soils (HAS) is ''gleyed podzolic soil over gleyed pedal clays''',05/02/03 12:00 AM,OSP,,,,,
AU,32,PZ,dn,ha,,,PZh,,,1,Po,,1,,,,,,,,soa,AA,62,46,TH,,US,HAS: Podzol; FK: Uc2.22,,05/02/03 12:00 AM,OSP,,,,,
AU,33,UM,hu,ha,,,CMu,dy,,1,Bh,,1,,,,,,,,ima,AA,96,34,ME,,UD,HAS: Alpine Humus Soil; FK: Um7.11,,05/02/03 12:00 AM,OSP,,,,,
AU,39,VR,ccw,pe,gm,sow,VRk,pe,GI,1,Vp,,1,,,,,,,,vul,AA,114,38,TH,,US,Grey clay,,05/06/03 12:00 AM,OSP,,,,,
BE,1,LV,gl,sl,ct,dyh,ALg,si,,1,Ag,,1,,,,,,,,uda,AQ06,88,34,FR,,UD,Sol lessivé faiblement à modérément gleyifié,,03/24/03 12:00 AM,OSP,,,,,
BE,2,LV,gl,ab,sl,dyh,ALg,ab,,1,Gd,,1,,,,,,,,uqo,AA,88,34,FR,,AQ,Sol lessivé très fortement gleyifié,,03/24/03 12:00 AM,OSP,,,,,
BE,3,PZ,gl,cb,,,PZg,,,1,Pg,,1,,,,,,,,sqa,AE,62,46,ME,,AQ,,,03/24/03 12:00 AM,OSP,,,,,
BE,4,PZ,ha,,,,PZh,,,1,Po,,1,,,,,,,,soa,AA,62,46,ME,,UD,,,03/24/03 12:00 AM,OSP,,,,,
BF,1,PT,eun,ap,,,PTe,ap,,1,Bg,MS,1,jcd,pt,,,,,,aub,OX,80,28,IH,,US,,,04/07/04 12:00 AM,OSP,,,,,
