,NAME,SOURCE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,NOTES
59,FS21_FS1078,icraf-isric-soil-database,pervious,bare,soil,measured,18.044722222222227,-77.91861111111113,none
60,FS21_FS9575,icraf-isric-soil-database,pervious,bare,soil,measured,36.255833333333335,139.9038888888889,none
61,FS21_FS1425,icraf-isric-soil-database,pervious,bare,soil,measured,0.0,0.0,none
62,FS21_FS1328,icraf-isric-soil-database,pervious,bare,soil,measured,-3.55,39.55,none
63,FS21_FS1460,icraf-isric-soil-database,pervious,bare,soil,measured,0.7055555555555555,34.57777777777778,none
64,FS21_FS1515,icraf-isric-soil-database,pervious,bare,soil,measured,0.1722222222222222,37.46111111111112,none
65,FS21_FS1231,icraf-isric-soil-database,pervious,bare,soil,measured,15.383333333333333,-5.416666666666668,none
66,FS21_FS1249,icraf-isric-soil-database,pervious,bare,soil,measured,16.5,-4.183333333333334,none
67,FS21_FS1174,icraf-isric-soil-database,pervious,bare,soil,measured,1.4583333333333333,110.28333333333332,none
68,FS21_FS9784,icraf-isric-soil-database,pervious,bare,soil,measured,-13.133333333333333,35.266666666666666,none
69,FS21_FS524,icraf-isric-soil-database,pervious,bare,soil,measured,7.483333333333332,4.5,none
70,FS21_FS528,icraf-isric-soil-database,pervious,bare,soil,measured,7.483333333333332,4.5,none
71,FS21_FS726,icraf-isric-soil-database,pervious,bare,soil,measured,7.583333333333332,4.933333333333334,none
72,FS21_FS538,icraf-isric-soil-database,pervious,bare,soil,measured,6.783333333333332,4.866666666666667,none
73,FS21_FS541,icraf-isric-soil-database,pervious,bare,soil,measured,6.783333333333332,4.866666666666667,none
74,FS21_FS547,icraf-isric-soil-database,pervious,bare,soil,measured,6.783333333333332,4.866666666666667,none
75,FS21_FS549,icraf-isric-soil-database,pervious,bare,soil,measured,6.783333333333332,4.866666666666667,none
76,FS21_FS671,icraf-isric-soil-database,pervious,bare,soil,measured,11.433333333333335,-86.1,none
77,FS21_FS672,icraf-isric-soil-database,pervious,bare,soil,measured,11.433333333333335,-86.1,none
78,FS21_FS9663,icraf-isric-soil-database,pervious,bare,soil,measured,52.01666666666666,5.966666666666668,none
79,FS21_FS9671,icraf-isric-soil-database,pervious,bare,soil,measured,52.01666666666666,5.966666666666668,none
80,FS21_FS9708,icraf-isric-soil-database,pervious,bare,soil,measured,51.56972222222223,5.576111111111112,none
81,FS21_FS372,icraf-isric-soil-database,pervious,bare,soil,measured,-3.8202777777777777,-73.3175,none
82,FS21_FS406,icraf-isric-soil-database,pervious,bare,soil,measured,-5.766666666666668,-76.08333333333333,none
83,FS21_FS125,icraf-isric-soil-database,pervious,bare,soil,measured,-3.910833333333333,-73.37194444444444,none
84,FS21_FS126,icraf-isric-soil-database,pervious,bare,soil,measured,-3.910833333333333,-73.37194444444444,none
85,FS21_FS132,icraf-isric-soil-database,pervious,bare,soil,measured,-3.910833333333333,-73.37194444444444,none
86,FS21_FS179,icraf-isric-soil-database,pervious,bare,soil,measured,-16.433333333333334,-71.6,none
87,FS21_FS614,icraf-isric-soil-database,pervious,bare,soil,measured,51.31666666666667,22.2,none
88,FS21_FS580,icraf-isric-soil-database,pervious,bare,soil,measured,51.48333333333333,21.91666666666667,none
89,FS21_FS1712,icraf-isric-soil-database,pervious,bare,soil,measured,55.81666666666667,14.066666666666665,none
90,FS21_FS1654,icraf-isric-soil-database,pervious,bare,soil,measured,0.0,0.0,none
91,FS21_FS1667,icraf-isric-soil-database,pervious,bare,soil,measured,58.94944444444444,15.041111111111109,none
92,FS21_FS1800,icraf-isric-soil-database,pervious,bare,soil,measured,16.516666666666666,102.83333333333331,none
93,FS21_FS1923,icraf-isric-soil-database,pervious,bare,soil,measured,0.0,0.0,none
94,FS21_FS2029,icraf-isric-soil-database,pervious,bare,soil,measured,29.70833333333333,-82.25694444444444,none
95,FS21_FS2033,icraf-isric-soil-database,pervious,bare,soil,measured,29.70833333333333,-82.25694444444444,none
96,FS21_FS2035,icraf-isric-soil-database,pervious,bare,soil,measured,29.70833333333333,-82.25694444444444,none
97,FS21_FS2036,icraf-isric-soil-database,pervious,bare,soil,measured,29.70833333333333,-82.25694444444444,none
98,FS21_FS242,icraf-isric-soil-database,pervious,bare,soil,measured,-32.166666666666664,-55.01666666666666,none
99,FS21_FS9972,icraf-isric-soil-database,pervious,bare,soil,measured,0.0,0.0,none
100,FS21_FS9989,icraf-isric-soil-database,pervious,bare,soil,measured,-15.229166666666664,23.266666666666666,none
101,FS21_FS9992,icraf-isric-soil-database,pervious,bare,soil,measured,-15.229166666666664,23.266666666666666,none
102,muakye.001-,asd,pervious,bare,gravel,measured,34.4408,-119.8745,urban reflectance spectra from santa barbara
4248,ash,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4249,charduff,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4250,chartree,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4251,burncham,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4252,charbark,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4253,charlogs,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4254,charrock,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4255,charsoil,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4256,graysoil,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4257,ash_litter,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4258,ash,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4259,barkchar,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4260,black_charwood,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4261,charbark,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4262,charrock,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4263,charsoil,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4264,charwood,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4265,cooney_charwood,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4266,light_charsoil,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4267,difubr,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
4268,scorch_psme,asd,pervious,burn,char,measured,0.0,0.0,joint fire science program
560,MCON_Tower_CWD1_Canopy,specevo,pervious,npv,npv,measured,37.06699,-119.1955,hyspiri simulation spectra
561,MCON_Tower_CWD2_Canopy,specevo,pervious,npv,npv,measured,37.06695,-119.19554,hyspiri simulation spectra
562,SJER_Plot361_NPV_T015,asd,pervious,npv,npv,measured,37.084376,-119.733826,hyspiri simulation spectra
563,kellbark,asd,pervious,npv,bark,measured,0.0,0.0,joint fire science program
564,crosscut,asd,pervious,npv,wood,measured,0.0,0.0,joint fire science program
565,bleachwd,asd,pervious,npv,wood,measured,0.0,0.0,joint fire science program
566,yewdead,asd,pervious,npv,wood,measured,0.0,0.0,joint fire science program
567,deadcott,asd,pervious,npv,litter,measured,0.0,0.0,joint fire science program
568,deadbark,asd,pervious,npv,bark,measured,0.0,0.0,joint fire science program
569,deadfern,asd,pervious,npv,litter,measured,0.0,0.0,joint fire science program
570,stmpwood,asd,pervious,npv,wood,measured,0.0,0.0,joint fire science program
571,deadlodg,asd,pervious,npv,litter,measured,0.0,0.0,joint fire science program
572,innrbark,asd,pervious,npv,bark,measured,0.0,0.0,joint fire science program
573,needbrow,asd,pervious,npv,litter,measured,0.0,0.0,joint fire science program
574,dedbirch,asd,pervious,npv,bark,measured,0.0,0.0,joint fire science program
575,deadwood,asd,pervious,npv,wood,measured,0.0,0.0,joint fire science program
576,dedaspen,asd,pervious,npv,bark,measured,0.0,0.0,joint fire science program
577,difubr,asd,pervious,npv,litter,measured,0.0,0.0,joint fire science program
578,ndbnof.004-,asd,pervious,npv,bark,measured,34.44,-119.8927,urban reflectance spectra from santa barbara
579,ndbnye.003-,asd,pervious,npv,bark,measured,34.4357,-119.8801,urban reflectance spectra from santa barbara
580,ndbnyg.002-,asd,pervious,npv,bark,measured,34.44,-119.8927,urban reflectance spectra from santa barbara
581,ndbnof.001-,asd,pervious,npv,bark,measured,34.44,-119.8927,urban reflectance spectra from santa barbara
582,ndbnyg.003-,asd,pervious,npv,bark,measured,34.44,-119.8927,urban reflectance spectra from santa barbara
583,ndbnye.012-,asd,pervious,npv,bark,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
584,ndbnye.005-,asd,pervious,npv,bark,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
585,ndbnye.008-,asd,pervious,npv,bark,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
586,ndbnmm.001-,asd,pervious,npv,bark,measured,34.4483,-119.8191,urban reflectance spectra from santa barbara
587,ndbnye.013-,asd,pervious,npv,bark,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
588,ndbnmm.004-,asd,pervious,npv,bark,measured,34.4483,-119.8191,urban reflectance spectra from santa barbara
