NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
FS15R_FS4338,pervious,bare,soil,measured,-26.63333333333333,150.58333333333334,icraf-isric-soil-database,none
FS15R_FS4339,pervious,bare,soil,measured,-26.63333333333333,150.58333333333334,icraf-isric-soil-database,none
FS15R_FS4340,pervious,bare,soil,measured,-26.63333333333333,150.58333333333334,icraf-isric-soil-database,none
FS15R_FS4342,pervious,bare,soil,measured,-30.36666666666667,153.25,icraf-isric-soil-database,none
FS15R_FS4343,pervious,bare,soil,measured,-30.36666666666667,153.25,icraf-isric-soil-database,none
FS15R_FS4344,pervious,bare,soil,measured,-30.36666666666667,153.25,icraf-isric-soil-database,none
FS15R_FS4345,pervious,bare,soil,measured,-30.36666666666667,153.25,icraf-isric-soil-database,none
FS15R_FS4346,pervious,bare,soil,measured,-30.36666666666667,153.25,icraf-isric-soil-database,none
FS15R_FS4347,pervious,bare,soil,measured,-30.36666666666667,153.25,icraf-isric-soil-database,none
FS15R_FS4348,pervious,bare,soil,measured,-30.36666666666667,153.25,icraf-isric-soil-database,none
FS15R_FS4349,pervious,bare,soil,measured,-30.36666666666667,153.25,icraf-isric-soil-database,none
FS15R_FS4350,pervious,bare,soil,measured,-30.36666666666667,153.25,icraf-isric-soil-database,none
FS15R_FS4351,pervious,bare,soil,measured,-34.71666666666667,148.33333333333334,icraf-isric-soil-database,none
FS15R_FS4352,pervious,bare,soil,measured,-34.71666666666667,148.33333333333334,icraf-isric-soil-database,none
FS15R_FS4353,pervious,bare,soil,measured,-34.71666666666667,148.33333333333334,icraf-isric-soil-database,none
FS15R_FS4354,pervious,bare,soil,measured,-34.71666666666667,148.33333333333334,icraf-isric-soil-database,none
FS15R_FS4355,pervious,bare,soil,measured,-34.71666666666667,148.33333333333334,icraf-isric-soil-database,none
FS15R_FS4356,pervious,bare,soil,measured,-26.68333333333333,152.95,icraf-isric-soil-database,none
FS15R_FS4357,pervious,bare,soil,measured,-26.68333333333333,152.95,icraf-isric-soil-database,none
FS15R_FS4358,pervious,bare,soil,measured,-26.68333333333333,152.95,icraf-isric-soil-database,none
FS15R_FS4359,pervious,bare,soil,measured,-26.68333333333333,152.95,icraf-isric-soil-database,none
FS15R_FS4360,pervious,bare,soil,measured,-26.68333333333333,152.95,icraf-isric-soil-database,none
FS15R_FS4361,pervious,bare,soil,measured,-27.36666666666667,152.88333333333333,icraf-isric-soil-database,none
FS15R_FS4362,pervious,bare,soil,measured,-27.36666666666667,152.88333333333333,icraf-isric-soil-database,none
FS15R_FS4363,pervious,bare,soil,measured,-27.36666666666667,152.88333333333333,icraf-isric-soil-database,none
FS15R_FS4364,pervious,bare,soil,measured,-27.36666666666667,152.88333333333333,icraf-isric-soil-database,none
FS15R_FS4365,pervious,bare,soil,measured,-27.36666666666667,152.88333333333333,icraf-isric-soil-database,none
FS15R_FS4366,pervious,bare,soil,measured,-27.36666666666667,152.88333333333333,icraf-isric-soil-database,none
FS15R_FS4367,pervious,bare,soil,measured,-27.36666666666667,152.88333333333333,icraf-isric-soil-database,none
FS15R_FS4368,pervious,bare,soil,measured,-27.36666666666667,152.88333333333333,icraf-isric-soil-database,none
FS15R_FS4369,pervious,bare,soil,measured,-27.36666666666667,152.88333333333333,icraf-isric-soil-database,none
FS15R_FS4383,pervious,bare,soil,measured,-36.28333333333333,140.83333333333334,icraf-isric-soil-database,none
FS15R_FS4384,pervious,bare,soil,measured,-36.28333333333333,140.83333333333334,icraf-isric-soil-database,none
FS15R_FS4385,pervious,bare,soil,measured,-36.28333333333333,140.83333333333334,icraf-isric-soil-database,none
FS15R_FS4386,pervious,bare,soil,measured,-36.28333333333333,140.83333333333334,icraf-isric-soil-database,none
FS15R_FS4387,pervious,bare,soil,measured,-36.28333333333333,140.83333333333334,icraf-isric-soil-database,none
FS15R_FS4388,pervious,bare,soil,measured,-36.28333333333333,140.83333333333334,icraf-isric-soil-database,none
FS15R_FS4389,pervious,bare,soil,measured,-24.85,152.4,icraf-isric-soil-database,none
FS15R_FS4390,pervious,bare,soil,measured,-24.85,152.4,icraf-isric-soil-database,none
FS15R_FS4391,pervious,bare,soil,measured,-24.85,152.4,icraf-isric-soil-database,none
FS15R_FS4392,pervious,bare,soil,measured,-24.85,152.4,icraf-isric-soil-database,none
FS15R_FS4393,pervious,bare,soil,measured,-24.85,152.4,icraf-isric-soil-database,none
FS15R_FS4394,pervious,bare,soil,measured,-24.85,152.4,icraf-isric-soil-database,none
FS15R_FS4395,pervious,bare,soil,measured,-24.85,152.4,icraf-isric-soil-database,none
FS15R_FS4396,pervious,bare,soil,measured,-24.85,152.4,icraf-isric-soil-database,none
FS15R_FS4397,pervious,bare,soil,measured,-34.7,139.06666666666666,icraf-isric-soil-database,none
FS15R_FS4398,pervious,bare,soil,measured,-34.7,139.06666666666666,icraf-isric-soil-database,none
FS15R_FS4399,pervious,bare,soil,measured,-34.7,139.06666666666666,icraf-isric-soil-database,none
FS15R_FS4400,pervious,bare,soil,measured,-34.7,139.06666666666666,icraf-isric-soil-database,none
FS15R_FS4402,pervious,bare,soil,measured,-34.7,139.06666666666666,icraf-isric-soil-database,none
FS15R_FS4425,pervious,bare,soil,measured,-30.53333333333333,151.63333333333333,icraf-isric-soil-database,none
FS15R_FS4426,pervious,bare,soil,measured,-30.53333333333333,151.63333333333333,icraf-isric-soil-database,none
FS15R_FS4427,pervious,bare,soil,measured,-30.53333333333333,151.63333333333333,icraf-isric-soil-database,none
FS15R_FS4431,pervious,bare,soil,measured,-30.53333333333333,151.63333333333333,icraf-isric-soil-database,none
FS15R_FS4432,pervious,bare,soil,measured,-30.53333333333333,151.63333333333333,icraf-isric-soil-database,none
FS15R_FS4433,pervious,bare,soil,measured,-30.53333333333333,151.63333333333333,icraf-isric-soil-database,none
FS15R_FS4434,pervious,bare,soil,measured,-30.53333333333333,151.63333333333333,icraf-isric-soil-database,none
FS15R_FS4435,pervious,bare,soil,measured,-30.53333333333333,151.63333333333333,icraf-isric-soil-database,none
FS15R_FS4443,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4444,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4445,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4446,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4447,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4448,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4449,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4450,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4451,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4452,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4453,pervious,bare,soil,measured,-26.85,153.01666666666668,icraf-isric-soil-database,none
FS15R_FS4454,pervious,bare,soil,measured,-30.5,152.5,icraf-isric-soil-database,none
FS15R_FS4455,pervious,bare,soil,measured,-30.5,152.5,icraf-isric-soil-database,none
FS15R_FS4456,pervious,bare,soil,measured,-30.5,152.5,icraf-isric-soil-database,none
FS15R_FS4457,pervious,bare,soil,measured,-30.5,152.5,icraf-isric-soil-database,none
FS15R_FS4458,pervious,bare,soil,measured,-30.5,152.5,icraf-isric-soil-database,none
FS15R_FS4459,pervious,bare,soil,measured,-30.5,152.5,icraf-isric-soil-database,none
FS15R_FS4506,pervious,bare,soil,measured,-29.45,150.53333333333333,icraf-isric-soil-database,none
FS15R_FS4507,pervious,bare,soil,measured,-29.45,150.53333333333333,icraf-isric-soil-database,none
FS15R_FS4508,pervious,bare,soil,measured,-29.45,150.53333333333333,icraf-isric-soil-database,none
