Wavelength	scorpipo.mn	std-	std+	scorpipo.st
456	0.071942613	6.98E-02	7.41E-02	2.13E-03
457	7.24E-02	7.02E-02	7.46E-02	2.15E-03
458	7.29E-02	7.07E-02	7.50E-02	2.16E-03
459	7.33E-02	7.11E-02	7.55E-02	2.19E-03
460	7.37E-02	7.15E-02	7.59E-02	2.21E-03
461	7.41E-02	7.19E-02	7.63E-02	2.23E-03
462	7.45E-02	7.23E-02	7.67E-02	2.24E-03
463	7.49E-02	7.26E-02	7.71E-02	2.25E-03
464	7.52E-02	7.30E-02	7.75E-02	2.26E-03
465	0.075672835	7.34E-02	7.79E-02	2.26E-03
466	7.61E-02	7.38E-02	7.84E-02	2.28E-03
467	7.64E-02	7.41E-02	7.87E-02	2.30E-03
468	7.67E-02	7.44E-02	7.91E-02	2.33E-03
469	7.71E-02	7.48E-02	7.95E-02	2.37E-03
470	7.75E-02	7.51E-02	7.99E-02	2.40E-03
471	7.77E-02	7.53E-02	8.02E-02	2.43E-03
472	7.81E-02	7.56E-02	8.05E-02	2.45E-03
473	7.84E-02	7.60E-02	8.09E-02	2.47E-03
474	7.88E-02	7.63E-02	8.13E-02	2.50E-03
475	7.92E-02	7.67E-02	8.17E-02	2.51E-03
476	7.95E-02	7.69E-02	8.20E-02	2.53E-03
477	7.98E-02	7.72E-02	8.23E-02	2.56E-03
478	8.01E-02	7.75E-02	8.27E-02	2.58E-03
479	8.04E-02	7.78E-02	8.30E-02	2.60E-03
480	8.07E-02	7.81E-02	8.33E-02	2.62E-03
481	0.081026554	7.84E-02	8.37E-02	2.64E-03
482	8.13E-02	7.87E-02	8.39E-02	2.63E-03
483	8.16E-02	7.90E-02	8.42E-02	2.63E-03
484	8.19E-02	7.93E-02	8.46E-02	2.65E-03
485	8.23E-02	7.96E-02	8.49E-02	2.67E-03
486	8.26E-02	7.99E-02	8.53E-02	2.71E-03
487	0.082884245	8.01E-02	8.56E-02	2.75E-03
488	8.32E-02	8.04E-02	8.60E-02	2.80E-03
489	8.35E-02	8.07E-02	8.63E-02	2.84E-03
490	8.38E-02	8.09E-02	8.67E-02	2.87E-03
491	8.42E-02	8.13E-02	8.70E-02	2.88E-03
492	0.084477462	8.16E-02	8.74E-02	2.89E-03
493	8.48E-02	8.19E-02	8.77E-02	2.92E-03
494	0.085085355	8.21E-02	8.80E-02	2.95E-03
495	8.55E-02	8.25E-02	8.84E-02	2.98E-03
496	8.58E-02	8.28E-02	8.88E-02	3.00E-03
497	8.62E-02	8.31E-02	8.92E-02	3.01E-03
498	0.086523563	8.35E-02	8.95E-02	3.01E-03
499	8.69E-02	8.38E-02	8.99E-02	3.04E-03
500	8.72E-02	8.42E-02	9.03E-02	3.07E-03
501	8.76E-02	8.45E-02	9.07E-02	3.10E-03
502	8.80E-02	8.48E-02	9.11E-02	3.14E-03
