Wavelength	cheat.mn	std-	std+	cheat.st
456	4.55E-02	3.73E-02	5.36E-02	8.17E-03
457	4.59E-02	3.76E-02	5.41E-02	8.23E-03
458	4.63E-02	3.80E-02	5.46E-02	8.32E-03
459	4.67E-02	3.84E-02	5.51E-02	8.38E-03
460	4.71E-02	3.87E-02	5.55E-02	8.43E-03
461	4.74E-02	3.89E-02	5.59E-02	8.48E-03
462	0.047870085	3.93E-02	5.64E-02	8.55E-03
463	4.83E-02	3.97E-02	5.69E-02	8.62E-03
464	4.86E-02	4.00E-02	5.73E-02	8.68E-03
465	4.90E-02	4.02E-02	5.77E-02	8.74E-03
466	0.049402904	4.06E-02	5.82E-02	8.80E-03
467	4.98E-02	4.10E-02	5.87E-02	8.86E-03
468	5.03E-02	4.13E-02	5.92E-02	8.92E-03
469	5.07E-02	4.17E-02	5.97E-02	9.01E-03
470	5.11E-02	4.20E-02	6.01E-02	9.08E-03
471	5.14E-02	4.23E-02	6.06E-02	9.14E-03
472	0.051776111	4.26E-02	6.10E-02	9.21E-03
473	5.22E-02	4.29E-02	6.14E-02	9.26E-03
474	5.26E-02	4.33E-02	6.19E-02	9.31E-03
475	5.29E-02	4.36E-02	6.23E-02	9.35E-03
476	0.053377952	4.40E-02	6.28E-02	9.42E-03
477	5.38E-02	4.43E-02	6.33E-02	9.50E-03
478	5.41E-02	4.45E-02	6.37E-02	9.57E-03
479	5.45E-02	4.49E-02	6.41E-02	9.63E-03
480	5.49E-02	4.52E-02	6.45E-02	9.68E-03
481	5.52E-02	4.55E-02	6.49E-02	9.72E-03
482	5.57E-02	4.59E-02	6.54E-02	9.76E-03
483	5.61E-02	4.63E-02	6.59E-02	9.81E-03
484	5.65E-02	4.66E-02	6.63E-02	9.86E-03
485	5.69E-02	4.69E-02	6.68E-02	9.93E-03
486	5.73E-02	4.73E-02	6.73E-02	9.99E-03
487	5.77E-02	4.76E-02	6.77E-02	1.01E-02
488	5.80E-02	4.79E-02	6.82E-02	1.01E-02
489	5.84E-02	4.82E-02	6.86E-02	1.02E-02
490	5.88E-02	4.85E-02	6.91E-02	0.01031051
491	5.93E-02	4.89E-02	6.96E-02	1.04E-02
492	5.96E-02	4.92E-02	7.00E-02	1.04E-02
493	6.00E-02	4.95E-02	7.05E-02	1.05E-02
494	6.05E-02	4.99E-02	7.10E-02	1.05E-02
495	6.09E-02	5.03E-02	7.14E-02	1.06E-02
496	0.061244011	5.06E-02	7.19E-02	0.010637566
497	0.061637569	5.09E-02	7.23E-02	0.010695593
498	6.21E-02	5.13E-02	7.28E-02	1.07E-02
499	6.25E-02	5.17E-02	7.33E-02	1.08E-02
500	6.29E-02	5.20E-02	7.37E-02	1.09E-02
501	6.32E-02	5.23E-02	7.41E-02	1.09E-02
502	0.063676193	5.27E-02	7.47E-02	1.10E-02
503	6.41E-02	5.30E-02	7.51E-02	1.10E-02
504	6.45E-02	5.34E-02	7.56E-02	1.11E-02
505	6.50E-02	5.38E-02	7.61E-02	0.011177477
506	6.54E-02	5.41E-02	7.66E-02	1.12E-02
507	6.58E-02	5.44E-02	7.71E-02	1.13E-02
508	6.62E-02	5.48E-02	7.75E-02	1.14E-02
509	6.66E-02	5.52E-02	7.80E-02	1.14E-02
510	6.70E-02	5.56E-02	7.85E-02	1.15E-02
511	6.74E-02	5.59E-02	7.89E-02	1.15E-02
512	6.78E-02	5.63E-02	7.94E-02	1.16E-02
513	6.83E-02	5.67E-02	7.99E-02	1.16E-02
514	6.88E-02	5.71E-02	8.04E-02	1.17E-02
515	6.91E-02	5.74E-02	8.08E-02	1.17E-02
516	6.96E-02	5.78E-02	8.14E-02	0.011763179
517	7.01E-02	5.82E-02	8.19E-02	0.011834885
518	7.05E-02	5.86E-02	8.24E-02	1.19E-02
519	7.10E-02	5.90E-02	8.30E-02	1.20E-02
520	7.15E-02	5.94E-02	8.36E-02	1.21E-02
521	7.19E-02	5.98E-02	8.41E-02	1.22E-02
522	7.23E-02	6.01E-02	8.46E-02	1.22E-02
523	7.28E-02	6.06E-02	8.51E-02	1.22E-02
524	7.33E-02	6.10E-02	8.56E-02	0.012282832
525	0.073760599	6.14E-02	8.61E-02	1.23E-02
526	7.42E-02	6.18E-02	8.66E-02	1.24E-02
527	7.47E-02	6.22E-02	8.71E-02	1.25E-02
528	7.51E-02	6.26E-02	8.77E-02	1.25E-02
529	7.56E-02	6.30E-02	8.82E-02	1.26E-02
530	7.61E-02	6.34E-02	8.87E-02	1.27E-02
531	7.66E-02	6.39E-02	8.93E-02	1.27E-02
532	7.70E-02	6.43E-02	8.98E-02	1.28E-02
533	7.75E-02	6.46E-02	9.03E-02	1.28E-02
534	7.79E-02	6.51E-02	9.08E-02	1.29E-02
535	7.84E-02	6.55E-02	9.14E-02	1.30E-02
536	7.89E-02	6.59E-02	9.19E-02	0.013015348
537	7.94E-02	6.63E-02	9.24E-02	1.31E-02
538	0.07983733	6.67E-02	9.30E-02	1.31E-02
539	8.03E-02	6.71E-02	9.35E-02	1.32E-02
540	8.08E-02	6.76E-02	9.40E-02	1.32E-02
541	8.13E-02	6.80E-02	9.46E-02	0.01330874
542	8.18E-02	6.84E-02	9.52E-02	1.34E-02
543	8.23E-02	6.88E-02	9.57E-02	1.35E-02
544	8.27E-02	6.92E-02	9.62E-02	0.013514582
545	8.32E-02	6.96E-02	9.68E-02	1.36E-02
546	8.37E-02	7.00E-02	9.73E-02	1.36E-02
547	8.41E-02	7.05E-02	9.78E-02	1.37E-02
548	8.46E-02	7.08E-02	9.84E-02	1.38E-02
549	8.51E-02	7.13E-02	9.89E-02	1.38E-02
550	8.56E-02	7.18E-02	9.95E-02	1.39E-02
551	8.61E-02	7.22E-02	1.00E-01	1.39E-02
552	8.66E-02	7.26E-02	1.01E-01	1.40E-02
553	8.71E-02	7.30E-02	1.01E-01	1.41E-02
554	8.76E-02	7.35E-02	1.02E-01	1.41E-02
555	8.80E-02	7.39E-02	1.02E-01	1.42E-02
556	8.85E-02	7.43E-02	1.03E-01	1.42E-02
557	8.90E-02	7.47E-02	1.03E-01	1.43E-02
558	8.95E-02	7.52E-02	1.04E-01	1.43E-02
559	9.00E-02	7.56E-02	1.04E-01	1.44E-02
560	9.04E-02	7.60E-02	1.05E-01	0.014467224
561	9.09E-02	7.64E-02	1.05E-01	1.45E-02
562	9.14E-02	7.69E-02	1.06E-01	1.46E-02
563	9.19E-02	7.73E-02	1.07E-01	0.01463663
564	9.24E-02	7.77E-02	1.07E-01	1.47E-02
565	9.29E-02	7.81E-02	1.08E-01	1.47E-02
566	9.34E-02	7.86E-02	1.08E-01	1.48E-02
567	9.39E-02	7.90E-02	1.09E-01	1.49E-02
568	9.43E-02	7.94E-02	1.09E-01	0.014926815
569	9.48E-02	7.99E-02	1.10E-01	1.50E-02
