Wavelength	Mean	Std +	Std -
509	0.098659931	0.125054638	0.072265224
510	0.098911621	0.125336621	0.072486621
511	0.099162103	0.125612332	0.072711875
512	0.099425345	0.125910544	0.072940146
513	0.099682034	0.126175555	0.073188514
514	0.099929828	0.126424346	0.073435309
515	0.100152621	0.126676746	0.073628495
516	0.10041031	0.126979686	0.073840935
517	0.100699586	0.127333769	0.074065403
518	0.101027517	0.127755009	0.074300026
519	0.101351931	0.128150956	0.074552906
520	0.101642069	0.128516034	0.074768104
521	0.101885138	0.128832216	0.07493806
522	0.102152414	0.129114103	0.075190725
523	0.102428828	0.12940313	0.075454525
524	0.102707138	0.129696591	0.075717685
525	0.102965931	0.129986968	0.075944894
526	0.103270828	0.130336098	0.076205557
527	0.103585414	0.130712771	0.076458057
528	0.103894	0.131111505	0.076676495
529	0.10415569	0.131453306	0.076858073
530	0.104410897	0.131748908	0.077072885
531	0.10468669	0.132027713	0.077345666
532	0.104956828	0.132328615	0.07758504
533	0.105244724	0.132674344	0.077815104
534	0.105549655	0.133053056	0.078046254
535	0.105876517	0.133444194	0.078308841
536	0.106162069	0.133772938	0.0785512
537	0.106430862	0.134074955	0.07878677
538	0.106706724	0.134381529	0.079031919
539	0.106989103	0.134718737	0.079259469
540	0.107286069	0.135077878	0.07949426
541	0.107595897	0.135454287	0.079737506
542	0.107883103	0.135816327	0.079949879
543	0.108178552	0.136177945	0.080179159
544	0.108485828	0.136545231	0.080426424
545	0.108761345	0.136862237	0.080660452
546	0.109034517	0.137177815	0.080891219
547	0.109308345	0.137501612	0.081115077
548	0.109598069	0.137861587	0.081334551
549	0.10991169	0.138226396	0.081596984
550	0.110211379	0.13857371	0.081849049
551	0.110484793	0.138893023	0.082076563
552	0.110773414	0.139231385	0.082315443
553	0.111041138	0.139551937	0.082530339
554	0.111293414	0.139856639	0.082730188
555	0.111545759	0.140142895	0.082948622
556	0.111829069	0.140454636	0.083203502
557	0.112089897	0.140742111	0.083437682
558	0.112337828	0.141041115	0.08363454
559	0.112606345	0.141375586	0.083837104
560	0.112855724	0.141687127	0.084024321
561	0.11309831	0.14198865	0.084207971
562	0.113358483	0.142281408	0.084435557
563	0.113592	0.142549435	0.084634565
564	0.113827172	0.142826249	0.084828096
565	0.114065345	0.143102046	0.085028644
566	0.114302172	0.143382564	0.08522178
567	0.114528138	0.143646562	0.085409714
568	0.114725793	0.143859305	0.085592281
569	0.114943897	0.144119531	0.085768262
570	0.115175448	0.144406656	0.085944241
571	0.115412586	0.144708861	0.086116311
572	0.11563669	0.144970339	0.086303041
573	0.115841172	0.145210524	0.086471821
574	0.116018	0.145419015	0.086616985
575	0.116218414	0.145650115	0.086786713
576	0.116420552	0.145893214	0.086947889
577	0.116615931	0.146132648	0.087099214
578	0.116833862	0.146400337	0.087267387
579	0.117072724	0.146691526	0.087453922
580	0.117299069	0.146970827	0.087627311
581	0.117496207	0.147220827	0.087771587
582	0.117697966	0.147438242	0.087957689
583	0.117885517	0.147638362	0.088132672
584	0.118060172	0.147825324	0.08829502
585	0.118233759	0.148017095	0.088450422
586	0.118413724	0.148210766	0.088616682
587	0.118594379	0.148401722	0.088787037
588	0.118756966	0.148569777	0.088944154
589	0.118925586	0.148799688	0.089051484
590	0.119111241	0.149062285	0.089160198
591	0.119321448	0.149348259	0.089294638
592	0.119524724	0.149578701	0.089470747
593	0.119720172	0.149803716	0.089636629
594	0.11991231	0.15003309	0.08979153
595	0.120139517	0.150320261	0.089958773
596	0.120363552	0.150595901	0.090131202
597	0.120595966	0.150878804	0.090313127
598	0.120806207	0.151137832	0.090474582
599	0.121001345	0.151394679	0.09060801
600	0.121221759	0.151690894	0.090752623
601	0.12146769	0.152024097	0.090911282
602	0.121708483	0.15234753	0.091069435
603	0.121919621	0.15263976	0.091199482
604	0.122099724	0.152897229	0.091302219
605	0.122307345	0.153151555	0.091463135
606	0.122526414	0.153421794	0.091631034
607	0.122748103	0.153697023	0.091799184
608	0.12294169	0.153941163	0.091942217
609	0.123123414	0.154187995	0.092058832
610	0.123298621	0.154419623	0.092177619
611	0.123465034	0.154610506	0.092319563
612	0.123683586	0.154847649	0.092519523
613	0.123881448	0.155066127	0.092696769
614	0.124058724	0.155270972	0.092846476
615	0.12421831	0.155460055	0.092976565
616	0.124403345	0.155678549	0.09312814
617	0.124587345	0.155892357	0.093282333
618	0.124756034	0.156080108	0.093431961
619	0.124909552	0.156215419	0.093603685
620	0.12507369	0.156350872	0.093796507
621	0.125286172	0.156543048	0.094029297
622	0.125442724	0.156699599	0.094185849
623	0.125589517	0.156851919	0.094327115
624	0.125731103	0.157001098	0.094461109
625	0.125932759	0.15720671	0.094658808
626	0.126116862	0.157388118	0.094845606
627	0.126283172	0.157545985	0.09502036
628	0.126425138	0.157673018	0.095177257
629	0.126644793	0.15790443	0.095385156
630	0.126853207	0.158129857	0.095576557
631	0.127052	0.158354871	0.095749129
632	0.127267241	0.158567378	0.095967105
633	0.127467931	0.158772967	0.096162895
634	0.127647069	0.158972794	0.096321344
635	0.127855103	0.159193722	0.096516485
636	0.128040793	0.159398223	0.096683363
637	0.128212414	0.159592171	0.096832657
638	0.128404448	0.159801549	0.097007347
639	0.128584793	0.159998467	0.09717112
640	0.128775621	0.160212475	0.097338767
641	0.128945897	0.160409499	0.097482294
642	0.129064345	0.160580176	0.097548514
643	0.129205862	0.160765101	0.097646623
644	0.129397621	0.160982563	0.097812678
645	0.129552931	0.16119971	0.097906152
646	0.12971031	0.161435761	0.097984859
647	0.129867793	0.1616857	0.098049886
648	0.130006483	0.161923297	0.098089668
649	0.130226586	0.162253931	0.098199241
650	0.130466379	0.162603056	0.098329703
651	0.130656793	0.162885117	0.098428469
652	0.130860483	0.163160696	0.09856027
653	0.131048931	0.163397452	0.09870041
654	0.131186759	0.163547828	0.09882569
655	0.131374897	0.163821091	0.098928702
656	0.131628586	0.164214675	0.099042498
657	0.131895586	0.164641042	0.09915013
658	0.132084034	0.164855232	0.099312837
659	0.13229231	0.165082744	0.099501877
660	0.132494034	0.165302199	0.09968587
661	0.132645655	0.165475701	0.099815609
662	0.132786379	0.165641805	0.099930954
663	0.132934241	0.165823984	0.100044499
664	0.133069483	0.166000572	0.100138393
665	0.133233379	0.166197609	0.100269149
666	0.133385483	0.166384402	0.100386563
667	0.133515759	0.166546471	0.100485046
668	0.133708069	0.166756204	0.100659934
669	0.133872586	0.166940156	0.100805016
670	0.134029069	0.167122153	0.100935985
671	0.134209862	0.167345869	0.101073855
672	0.134398793	0.167555063	0.101242524
673	0.13458	0.167755638	0.101404362
674	0.134743828	0.167948593	0.101539063
675	0.134934034	0.168173296	0.101694773
676	0.135122552	0.168376163	0.101868941
677	0.135335034	0.168590159	0.10207991
678	0.135544828	0.168822389	0.102267266
679	0.135760586	0.16905886	0.102462313
680	0.135990069	0.169308138	0.102672
681	0.136245759	0.169582367	0.10290915
682	0.13649631	0.169838566	0.103154054
683	0.136750552	0.170082703	0.103418401
684	0.137041483	0.170344577	0.103738389
685	0.137266552	0.170462198	0.104070905
686	0.137566207	0.170746237	0.104386177
687	0.137961793	0.171251435	0.104672151
688	0.138411793	0.17175561	0.105067976
689	0.138869724	0.17222354	0.105515909
690	0.139314069	0.172645698	0.10598244
691	0.139717862	0.173002226	0.106433498
692	0.140123897	0.173356051	0.106891742
693	0.14055	0.173739375	0.107360625
694	0.141014379	0.174183668	0.107845091
695	0.141499379	0.174665866	0.108332893
696	0.141942966	0.175083808	0.108802123
697	0.142341897	0.175428008	0.109255785
698	0.142743276	0.175783118	0.109703433
699	0.143123069	0.176130518	0.11011562
700	0.143507379	0.176498674	0.110516085
701	0.143895172	0.176884101	0.110906244
702	0.144283793	0.177275004	0.111292583
703	0.14465369	0.17764096	0.111666419
704	0.14497231	0.177934302	0.112010319
705	0.145326241	0.178269104	0.112383378
706	0.14565969	0.178585606	0.112733773
707	0.145963621	0.178874921	0.113052321
708	0.146285448	0.179189682	0.113381215
709	0.146574414	0.179482833	0.113665995
710	0.146842966	0.179759284	0.113926647
711	0.147129897	0.180030975	0.114228818
712	0.147397069	0.180272014	0.114522124
713	0.147648966	0.180488312	0.114809619
714	0.147883862	0.18067294	0.115094785
715	0.148011655	0.180718077	0.115305233
716	0.148138207	0.180777177	0.115499237
717	0.148292517	0.180898278	0.115686757
718	0.148547379	0.181246424	0.115848335
719	0.148887931	0.181685947	0.116089915
720	0.149250345	0.182121139	0.116379551
721	0.149498034	0.182297048	0.116699021
722	0.14968369	0.182413872	0.116953507
723	0.149889759	0.182585831	0.117193687
724	0.150139241	0.182888693	0.11738979
725	0.150339069	0.183102409	0.117575729
726	0.150563241	0.183331263	0.117795219
727	0.150814241	0.183578305	0.118050178
728	0.151047172	0.183827121	0.118267224
729	0.15128831	0.184095241	0.118481379
730	0.15152631	0.184364875	0.118687745
731	0.151846	0.184719832	0.118972168
732	0.152136	0.185017401	0.119254599
733	0.152390655	0.18526925	0.119512061
734	0.152590379	0.185471304	0.119709455
735	0.152789517	0.185680178	0.119898857
736	0.153016586	0.185916224	0.120116948
737	0.153256655	0.186155179	0.120358132
738	0.153497621	0.186396209	0.120599032
739	0.153728138	0.186638068	0.120818207
740	0.153921103	0.186846012	0.120996195
741	0.154166828	0.18710945	0.121224205
742	0.154402103	0.187344715	0.121459492
743	0.154626931	0.187568022	0.12168584
744	0.15483831	0.187803834	0.121872787
745	0.155016793	0.187979499	0.122054088
746	0.15521431	0.188170715	0.122257906
747	0.15542569	0.188374031	0.122477349
748	0.155654897	0.188610592	0.122699201
749	0.155879	0.18883826	0.12291974
750	0.156095897	0.189054387	0.123137406
751	0.156309345	0.189271946	0.123346744
752	0.156509621	0.189492097	0.123527144
753	0.156701897	0.189704383	0.12369941
754	0.15689331	0.189881597	0.123905024
755	0.15710331	0.190104198	0.124102422
756	0.15728731	0.19027188	0.12430274
757	0.157420103	0.19031304	0.124527167
758	0.157221483	0.18979533	0.124647635
759	0.157103	0.189540871	0.124665129
760	0.157317621	0.190149964	0.124485277
761	0.157663655	0.190548245	0.124779066
762	0.157942586	0.190863366	0.125021806
763	0.158245483	0.191208767	0.125282199
764	0.158653759	0.191693108	0.125614409
765	0.158945379	0.19202462	0.125866139
766	0.159200241	0.192293939	0.126106544
767	0.159472448	0.192554155	0.126390741
768	0.159744862	0.192830451	0.126659274
769	0.159992069	0.19307622	0.126907918
770	0.160215414	0.193291437	0.12713939
771	0.160435207	0.193531722	0.127338692
772	0.16066069	0.193761026	0.127560354
773	0.160865103	0.193959982	0.127770225
774	0.161073897	0.194195129	0.127952664
775	0.161271655	0.194403361	0.12813995
776	0.161474793	0.194615015	0.128334572
777	0.161699552	0.194856143	0.128542961
778	0.161897414	0.195054893	0.128739934
779	0.162103966	0.195266454	0.128941477
780	0.162324966	0.195500497	0.129149434
781	0.162529724	0.195724722	0.129334727
782	0.162731034	0.195937366	0.129524703
783	0.162952241	0.196167777	0.129736706
784	0.16317831	0.196400757	0.129955864
785	0.163387345	0.196608805	0.130165885
786	0.163589	0.196809418	0.130368582
787	0.163785793	0.197011221	0.130560366
788	0.163994966	0.197219662	0.130770269
789	0.164198966	0.19742935	0.130968581
790	0.164392552	0.19763819	0.131146913
791	0.164612897	0.197883007	0.131342786
792	0.16485331	0.198134264	0.131572357
793	0.165099	0.198381198	0.131816802
794	0.165288517	0.198578101	0.131998933
795	0.165493069	0.198788662	0.132197476
796	0.165709552	0.199010469	0.132408635
797	0.165939552	0.19924382	0.132635284
798	0.16612469	0.199450721	0.132798658
799	0.166324862	0.199666403	0.132983321
800	0.166554448	0.199897572	0.133211324
801	0.166739897	0.200116965	0.133362828
802	0.166949207	0.200342548	0.133555866
803	0.167180138	0.200577233	0.133783042
804	0.167436414	0.200854628	0.134018199
805	0.167673828	0.201104404	0.134243251
806	0.167883034	0.20131775	0.134448319
807	0.16808169	0.201516929	0.13464645
808	0.168281552	0.201719448	0.134843655
809	0.168472034	0.201910006	0.135034063
810	0.168645345	0.202078546	0.135212144
811	0.168790897	0.202225787	0.135356006
